Name;LOC;Time;PIPs;Paths;Paths vuln;Paths timeout;XSS;SQLi;EVAL;SPECIFICS
Atlantic18_DoctrineExtensions.result;40228;00:01:54;0;0;0;0;0;0;0;;
walkor_Workerman.result;5452;00:00:50;0;0;0;0;0;0;0;;
thephpleague_flysystem.result;6167;00:00:42;0;0;0;0;0;0;0;;
userfrosting_UserFrosting.result;29930;00:03:31;0;0;0;0;0;0;0;;
doctrine_instantiator.result;594;00:00:28;0;0;0;0;0;0;0;;
sebastianbergmann_php-code-coverage.result;126767;00:00:49;0;0;0;0;0;0;0;;
baijunyao_thinkphp-bjyadmin.result;178780;00:00:49;0;0;0;0;0;0;0;;
FriendsOfPHP_Sami.result;5219;00:00:47;0;0;0;0;0;0;0;;
ampache_ampache.result;130993;02:00:37;8;11;9;0;8;0;0;  (xss) echo_func:8,;
electerious_Lychee.result;2564;00:06:32;0;0;0;0;0;0;0;;
phpspec_prophecy.result;8670;00:07:10;0;0;0;0;0;0;0;;
FriendsOfPHP_security-advisories.result;240;00:01:57;0;0;0;0;0;0;0;;
InfyOmLabs_laravel-generator.result;4796;00:00:28;0;0;0;0;0;0;0;;
j4mie_idiorm.result;2903;00:00:30;0;0;0;0;0;0;0;;
bshaffer_oauth2-server-php.result;10537;00:00:58;0;0;0;0;0;0;0;;
nikic_PHP-Parser.result;19600;00:00:58;0;0;0;0;0;0;0;;
sebastianbergmann_php-file-iterator.result;116706;00:00:17;0;0;0;0;0;0;0;;
jenssegers_laravel-mongodb.result;6859;00:00:35;0;0;0;0;0;0;0;;
beberlei_assert.result;3749;00:00:49;0;0;0;0;0;0;0;;
abraham_twitteroauth.result;1382;00:00:26;0;0;0;0;0;0;0;;
elastic_elasticsearch-php.result;37100;00:02:38;0;0;0;0;0;0;0;;
Froxlor_Froxlor.result;57029;00:02:38;0;0;0;0;0;0;0;;
anchorcms_anchor-cms.result;12708;00:05:15;0;0;0;0;0;0;0;;
sebastianbergmann_php-timer.result;116736;00:00:34;0;0;0;0;0;0;0;;
hightman_scws.result;6688;00:05:54;1;3;1;0;1;0;0;  (xss) printf_func:1,;
webmozart_assert.result;4037;00:00:41;0;0;0;0;0;0;0;;
BookStackApp_BookStack.result;43294;00:01:03;0;0;0;0;0;0;0;;
ircmaxell_password_compat.result;322;00:00:31;0;0;0;0;0;0;0;;
xtr4nge_FruityWifi.result;18112;00:24:16;0;0;0;0;0;0;0;;
